"TARGET_FID","soil_mu","SSURGO_dat","MLRA","LRU","esite","esite_alt","esite_alt2","state_code","dom1","dom2","dom3","dom4","grass_dur","ration","ration_dat","remarks"
"2349","914","NM690","42X","42.2","Drainage","Draw","","537","<Null>","<Null>","<Null>","<Null>","perennial","photo interpretation","<Null>","<Null>"
"2349","914","NM690","42X","42.2","Drainage","Draw","","537","<Null>","<Null>","<Null>","<Null>","perennial","photo interpretation","<Null>","<Null>"
"2349","914","NM690","42X","42.2","Drainage","Draw","","537","<Null>","<Null>","<Null>","<Null>","perennial","photo interpretation","<Null>","<Null>"
"2349","914","NM690","42X","42.2","Drainage","Draw","","537","<Null>","<Null>","<Null>","<Null>","perennial","photo interpretation","<Null>","<Null>"
"2349","914","NM690","42X","42.2","Drainage","Draw","","537","<Null>","<Null>","<Null>","<Null>","perennial","photo interpretation","<Null>","<Null>"
"2349","914","NM690","42X","42.2","Drainage","Draw","","537","<Null>","<Null>","<Null>","<Null>","perennial","photo interpretation","<Null>","<Null>"
"2349","914","NM690","42X","42.2","Drainage","Draw","","537","<Null>","<Null>","<Null>","<Null>","perennial","photo interpretation","<Null>","<Null>"
"2349","914","NM690","42X","42.2","Drainage","Draw","","537","<Null>","<Null>","<Null>","<Null>","perennial","photo interpretation","<Null>","<Null>"
"2349","914","NM690","42X","42.2","Drainage","Draw","","537","<Null>","<Null>","<Null>","<Null>","perennial","photo interpretation","<Null>","<Null>"
"2349","914","NM690","42X","42.2","Drainage","Draw","","537","<Null>","<Null>","<Null>","<Null>","perennial","photo interpretation","<Null>","<Null>"
"2349","914","NM690","42X","42.2","Drainage","Draw","","537","<Null>","<Null>","<Null>","<Null>","perennial","photo interpretation","<Null>","<Null>"
"2349","914","NM690","42X","42.2","Drainage","Draw","","537","<Null>","<Null>","<Null>","<Null>","perennial","photo interpretation","<Null>","<Null>"
"2349","914","NM690","42X","42.2","Drainage","Draw","","537","<Null>","<Null>","<Null>","<Null>","perennial","photo interpretation","<Null>","<Null>"
"2349","914","NM690","42X","42.2","Drainage","Draw","","537","<Null>","<Null>","<Null>","<Null>","perennial","photo interpretation","<Null>","<Null>"
"2349","914","NM690","42X","42.2","Drainage","Draw","","537","<Null>","<Null>","<Null>","<Null>","perennial","photo interpretation","<Null>","<Null>"
"2349","914","NM690","42X","42.2","Drainage","Draw","","537","<Null>","<Null>","<Null>","<Null>","perennial","photo interpretation","<Null>","<Null>"
"2349","914","NM690","42X","42.2","Drainage","Draw","","537","<Null>","<Null>","<Null>","<Null>","perennial","photo interpretation","<Null>","<Null>"
"2349","914","NM690","42X","42.2","Drainage","Draw","","537","<Null>","<Null>","<Null>","<Null>","perennial","photo interpretation","<Null>","<Null>"
"2427","914","NM690","42X","42.2","Drainage","Draw","Limestone hills","657","<Null>","<Null>","<Null>","<Null>","<Null>","photo interpretation","<Null>","<Null>"
"2427","914","NM690","42X","42.2","Limestone hills","Gravelly","","536","<Null>","<Null>","<Null>","<Null>","<Null>","photo interpretation","<Null>","<Null>"
"2427","914","NM690","42X","42.2","Gravelly","Limestone hills","Draw","560","<Null>","<Null>","<Null>","<Null>","<Null>","<Null>","<Null>","<Null>"
"2427","914","NM690","42X","42.2","Gravelly","Sandy","","650","<Null>","<Null>","<Null>","<Null>","<Null>","<Null>","<Null>","<Null>"
"2427","914","NM690","42X","42.2","Gravelly","Limestone hills","","650","<Null>","<Null>","<Null>","<Null>","<Null>","photo interpretation","<Null>","<Null>"
"2427","914","NM690","42X","42.2","Gravelly","Limestone hills","Sandy","560","<Null>","<Null>","<Null>","<Null>","<Null>","<Null>","<Null>","<Null>"
"2408","818","NM690","42X","42.2","Limestone hills","Gravelly","","536","<Null>","<Null>","<Null>","<Null>","<Null>","photo interpretation","<Null>","<Null>"
"2408","818","NM690","42X","42.2","Gravelly","Limestone hills","Sandy","560","<Null>","<Null>","<Null>","<Null>","<Null>","site visit","<Null>","<Null>"
"2408","818","NM690","42X","42.2","Gravelly","Limestone hills","Drainage","650","<Null>","<Null>","<Null>","<Null>","<Null>","<Null>","<Null>","<Null>"
"22","818","NM690","42X","42.2","Drainage","Deep sand","","657","<Null>","<Null>","<Null>","<Null>","perennial","<Null>","<Null>","<Null>"
"22","818","NM690","42X","42.2","Deep sand","Sandhills","","652","<Null>","<Null>","<Null>","<Null>","<Null>","<Null>","<Null>","<Null>"
